Time,flink,Label
2855,2,counter
2855,2,counter
2887,6,counter
2896,14,counter
2956,91,counter
2966,105,counter
3026,190,counter
3036,203,counter
Time,flink,Label
2819,1,counter
2819,1,counter
2847,3,counter
2964,169,counter
2993,223,counter
3003,242,counter
Time,flink,Label
3119,1,counter
3153,3,counter
3162,6,counter
3171,12,counter
3201,36,counter
3211,45,counter
3222,54,counter
3241,63,counter
3292,102,counter
3351,139,counter
3361,150,counter
3431,246,counter
3441,258,counter
3451,270,counter
3461,286,counter
3471,300,counter
3481,317,counter
3491,333,counter
3501,351,counter
3511,367,counter
3521,384,counter
3531,405,counter
3541,423,counter
3571,461,counter
3581,480,counter
3631,576,counter
3641,600,counter
3771,891,counter
3781,912,counter
3791,935,counter
3801,956,counter
3851,1070,counter
3861,1098,counter
3871,1122,counter
3881,1144,counter
3881,1144,counter
3911,1223,counter
3921,1250,counter
3951,1336,counter
3961,1363,counter
3996,1431,counter
4001,1445,counter
4011,1476,counter
4061,1633,counter
4071,1662,counter
4101,1756,counter
4111,1790,counter
4141,1891,counter
4151,1925,counter
Time,flink,Label
3979,1,counter
3979,1,counter
4013,2,counter
4035,19,counter
4045,30,counter
4136,138,counter
4145,149,counter
4155,162,counter
4166,176,counter
4225,250,counter
4236,264,counter
4285,332,counter
4285,332,counter
4295,347,counter
4325,394,counter
4336,411,counter
4345,424,counter
4355,439,counter
4425,545,counter
4435,563,counter
4485,649,counter
4485,649,counter
4495,669,counter
4505,683,counter
4515,703,counter
Time,flink,Label
2850,2,counter
2850,2,counter
2879,3,counter
2924,49,counter
2924,50,counter
2935,62,counter
2935,62,counter
